Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position
gb-refrigerador-no-frost-inverter-renx221350i-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/PR3367_01-ENXUTA-RENX221350I.png,2
gb-refrigerador-no-frost-inverter-renx221350i-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/Safety-Label-RENX221350W-I-N-scaled.png,3
gb-refrigerador-no-frost-inverter-renx22215i-enxuta,Refrigerador No Frost Inverter – RENX22215I – Enxuta,Refrigerador No Frost Inverter – RENX22215I – Enxuta,Enxuta,Electro,"Heladeras, Enxuta",TRUE,Título,Default Title,RENX22215I,405.0,,10,deny,https://gelbring.com.uy/wp-content/uploads/2026/06/RENX22215I-800x800-1.png,1
gb-refrigerador-no-frost-inverter-renx22215i-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/RENX22215I-Open-with-food-800x800-1.png,2
gb-refrigerador-no-frost-inverter-renx22215i-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/RENX22215I-Open-800x800-1.png,3
gb-refrigerador-no-frost-inverter-renx22215i-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/RENX22215I-Eficiencia.jpeg,4
gb-refrigerador-no-frost-inverter-renx22215i-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/ETIQUETA-SEG-RENX22215W.jpeg,5
gb-refrigerador-no-frost-inverter-renx22215w-enxuta,Refrigerador No Frost Inverter – RENX22215W – Enxuta,Refrigerador No Frost Inverter – RENX22215W – Enxuta,Enxuta,Electro,"Heladeras, Enxuta",TRUE,Título,Default Title,RENX22215W,395.0,,10,deny,https://gelbring.com.uy/wp-content/uploads/2026/06/RENX22215W-800x800-1.png,1
gb-refrigerador-no-frost-inverter-renx22215w-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/RENX22215W-Open-800x800-1.png,2
gb-refrigerador-no-frost-inverter-renx22215w-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/RENX22215W-Open-with-food-800x800-1.png,3
gb-refrigerador-no-frost-inverter-renx22215w-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/ETIQUETA-EF-RENX22215W.jpeg,4
gb-refrigerador-no-frost-inverter-renx22215w-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/ETIQUETA-SEG-RENX22215W.jpeg,5
gb-refrigerador-no-frost-con-dispensador-inverter-renx221350di-enxuta,Refrigerador No frost con Dispensador Inverter – RENX221350DI – Enxuta,Refrigerador No frost con Dispensador Inverter – RENX221350DI – Enxuta,Enxuta,Electro,"Heladeras, Enxuta",TRUE,Título,Default Title,RENX221350DI,565.0,,10,deny,https://gelbring.com.uy/wp-content/uploads/2026/06/RENX221350DI-800x800-1.png,1
gb-refrigerador-no-frost-con-dispensador-inverter-renx221350di-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/RENX221350DI-abierta-800x800-1.png,2
gb-deshumidificador-denx9201-1-enxuta,Deshumidificador – DENX9201-1 – 20 Litros – Enxuta,Deshumidificador – DENX9201-1 – 20 Litros – Enxuta,Enxuta,Electro,"Climatización, Enxuta",TRUE,Título,Default Title,DENX9201,205.0,,10,deny,https://gelbring.com.uy/wp-content/uploads/2026/06/DENX9201-1-800x800-1.png,1
gb-deshumidificador-denx9201-1-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/DENX9201-1-frente-superior-800x800-1.png,2
gb-deshumidificador-denx9201-1-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/DENX9201-1-detalle-panel-800x800-1.png,3
gb-deshumidificador-denx9201-1-enxuta,,,,,,,,,,,,,,https://gelbring.com.uy/wp-content/uploads/2026/06/DENX9201-1-derecha-superior-800x800-1.png,4
